unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1624998720000,2021-06-29T20:32:00Z,BNB/USDT,306.25,306.4,305.84,305.93,921.3025,281991.748606,421
1624998660000,2021-06-29T20:31:00Z,BNB/USDT,306.51,306.68,306.14,306.24,775.0189,237419.626485,359
1624998600000,2021-06-29T20:30:00Z,BNB/USDT,306.17,306.71,306.02,306.5,1085.1731,332536.271678,484
1624998540000,2021-06-29T20:29:00Z,BNB/USDT,306.29,306.37,306.08,306.18,787.1774,241020.107538,298
1624998480000,2021-06-29T20:28:00Z,BNB/USDT,306.42,306.57,306.18,306.24,858.2731,262926.294963,320
1624998420000,2021-06-29T20:27:00Z,BNB/USDT,306.62,306.72,306.41,306.41,301.92380000000003,92551.971155,215
1624998360000,2021-06-29T20:26:00Z,BNB/USDT,306.63,306.81,306.5,306.65,570.8281,175039.034555,244
1624998300000,2021-06-29T20:25:00Z,BNB/USDT,306.77,306.82,306.6,306.64,299.4705,91859.900404,228
1624998240000,2021-06-29T20:24:00Z,BNB/USDT,306.79,306.99,306.76,306.76,370.6974,113747.785864,202
1624998180000,2021-06-29T20:23:00Z,BNB/USDT,306.82,306.97,306.79,306.8,204.6742,62806.881739,180
1624998120000,2021-06-29T20:22:00Z,BNB/USDT,306.82,307,306.76,306.81,373.4588,114589.184204,218
1624998060000,2021-06-29T20:21:00Z,BNB/USDT,306.87,306.95,306.62,306.82,448.1363,137465.27344,250
1624998000000,2021-06-29T20:20:00Z,BNB/USDT,307.05,307.05,306.68,306.9,545.6077,167421.768026,341
1624997940000,2021-06-29T20:19:00Z,BNB/USDT,306.84,307.12,306.59,307.06,413.3736,126851.957899,224
1624997880000,2021-06-29T20:18:00Z,BNB/USDT,306.79,307.18,306.74,306.85,726.3753,222927.294591,304
1624997820000,2021-06-29T20:17:00Z,BNB/USDT,306.75,307.22,306.63,306.8,1165.699,357720.481456,421
1624997760000,2021-06-29T20:16:00Z,BNB/USDT,307.25,307.37,306.72,306.75,2318.1359,712003.697019,447
1624997700000,2021-06-29T20:15:00Z,BNB/USDT,306.92,307.39,306.78,307.27,1021.8216,313843.988393,438
1624997640000,2021-06-29T20:14:00Z,BNB/USDT,307.48,307.61,306.92,306.92,1547.7594,475661.544169,440
1624997580000,2021-06-29T20:13:00Z,BNB/USDT,307.39,307.53,307.21,307.45,360.5298,110810.826429,285
1624997520000,2021-06-29T20:12:00Z,BNB/USDT,306.76,307.56,306.76,307.35,1600.0789,491715.217076,592
1624997460000,2021-06-29T20:11:00Z,BNB/USDT,306.75,306.9,306.63,306.77,164.7619,50543.92403,200
1624997400000,2021-06-29T20:10:00Z,BNB/USDT,306.85,307.01,306.51,306.76,602.1459,184746.592459,295
1624997340000,2021-06-29T20:09:00Z,BNB/USDT,306.91,307.08,306.56,306.84,603.4366,185145.599102,506
1624997280000,2021-06-29T20:08:00Z,BNB/USDT,306.7,307.16,306.56,306.95,1381.1008,423858.94889,327
1624997220000,2021-06-29T20:07:00Z,BNB/USDT,306.61,306.88,306.33,306.7,561.0992,172054.510708,270
1624997160000,2021-06-29T20:06:00Z,BNB/USDT,306.59,306.95,306.4,306.68,209.2837,64188.748091,178
1624997100000,2021-06-29T20:05:00Z,BNB/USDT,306.46,306.74,306.29,306.57,242.2055,74249.758985,164
1624997040000,2021-06-29T20:04:00Z,BNB/USDT,307.06,307.08,306.46,306.47,451.4299,138516.577229,249
1624996980000,2021-06-29T20:03:00Z,BNB/USDT,306.42,307.1,306.07,307.1,676.8657,207472.123199,357
1624996920000,2021-06-29T20:02:00Z,BNB/USDT,306.84,306.9,305.76,306.44,1641.0963,502552.176082,508
1624996860000,2021-06-29T20:01:00Z,BNB/USDT,307.25,307.42,306.83,306.92,480.9851,147715.232141,253
1624996800000,2021-06-29T20:00:00Z,BNB/USDT,307.07,307.49,307.07,307.24,665.157,204428.344984,294
1624996740000,2021-06-29T19:59:00Z,BNB/USDT,307.34,307.34,306.95,307.07,1218.0617,374161.800025,401
1624996680000,2021-06-29T19:58:00Z,BNB/USDT,307.2,307.41,307.14,307.34,346.5963,106500.823974,268
1624996620000,2021-06-29T19:57:00Z,BNB/USDT,307.06,307.28,306.9,307.2,359.2952,110340.876562,278
1624996560000,2021-06-29T19:56:00Z,BNB/USDT,306.81,307.19,306.8,306.96,962.4242,295468.859934,360
1624996500000,2021-06-29T19:55:00Z,BNB/USDT,306.86,306.96,306.62,306.81,474.7509,145669.033496,258
1624996440000,2021-06-29T19:54:00Z,BNB/USDT,306.49,306.86,306.49,306.85,406.9257,124792.803072,267
1624996380000,2021-06-29T19:53:00Z,BNB/USDT,306.23,306.55,306.1,306.41,583.398,178745.955334,251
1624996320000,2021-06-29T19:52:00Z,BNB/USDT,306.59,306.7,306.21,306.24,412.3859,126392.102258,254
1624996260000,2021-06-29T19:51:00Z,BNB/USDT,306.06,306.67,305.8,306.67,1142.824,349994.008702,447
1624996200000,2021-06-29T19:50:00Z,BNB/USDT,305.84,306.15,305.66,306.07,610.8677,186858.290326,329
1624996140000,2021-06-29T19:49:00Z,BNB/USDT,305.77,306.14,305.72,305.84,738.7584,226067.147786,447
1624996080000,2021-06-29T19:48:00Z,BNB/USDT,305.23,305.79,305.07,305.77,819.7636,250415.458164,375
1624996020000,2021-06-29T19:47:00Z,BNB/USDT,305.08,305.45,305.02,305.25,621.9209,189862.760671,323
1624995960000,2021-06-29T19:46:00Z,BNB/USDT,305.08,305.13,304.95,305.08,485.3892,148081.146617,295
1624995900000,2021-06-29T19:45:00Z,BNB/USDT,305.1,305.55,304.99,305.03,1952.5494,595860.550136,641
1624995840000,2021-06-29T19:44:00Z,BNB/USDT,305.8,305.8,305,305.09,1474.826,450213.707159,654
