unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
1625000580000,2021-06-29T21:03:00Z,BTC/USDT,36222.41,36276.86,36220.35,36257.68,59.74242,2165611.02271091,1098
1625000520000,2021-06-29T21:02:00Z,BTC/USDT,36206.62,36248.03,36206.61,36222.41,40.41079,1464040.73631581,892
1625000460000,2021-06-29T21:01:00Z,BTC/USDT,36161.27,36230,36154.08,36206.62,63.313069,2291708.67650911,1233
1625000400000,2021-06-29T21:00:00Z,BTC/USDT,36156.03,36198.9,36150.22,36161.25,67.848908,2454552.39560557,1255
1625000340000,2021-06-29T20:59:00Z,BTC/USDT,36150.73,36184.99,36099.79,36156.04,285.094876,10300405.44419608,2911
1625000280000,2021-06-29T20:58:00Z,BTC/USDT,36179.32,36200,36150.73,36150.73,31.073351,1124128.78067948,867
1625000220000,2021-06-29T20:57:00Z,BTC/USDT,36158.16,36184.37,36150.79,36175.22,51.325563,1856101.57426155,1147
1625000160000,2021-06-29T20:56:00Z,BTC/USDT,36201.78,36221.94,36144.26,36158.16,75.690981,2738317.7451899,1403
1625000100000,2021-06-29T20:55:00Z,BTC/USDT,36212.1,36241.66,36188.4,36201.78,70.79428,2563180.26189188,1273
1625000040000,2021-06-29T20:54:00Z,BTC/USDT,36183.17,36238.41,36176.88,36212.1,70.785864,2562835.04908107,1174
1624999980000,2021-06-29T20:53:00Z,BTC/USDT,36202.85,36210,36154.93,36183.17,73.46805,2657527.23155205,1450
1624999920000,2021-06-29T20:52:00Z,BTC/USDT,36225.48,36232.99,36170.4,36202.85,167.649625,6069131.19030961,1934
1624999860000,2021-06-29T20:51:00Z,BTC/USDT,36244.15,36250.89,36220,36225.47,36.709954,1330178.13484769,872
1624999800000,2021-06-29T20:50:00Z,BTC/USDT,36270,36270.01,36237.82,36244.14,37.009478,1341694.62892933,604
1624999740000,2021-06-29T20:49:00Z,BTC/USDT,36262.96,36299,36262.96,36270.01,20.392154,739832.14200273,580
1624999680000,2021-06-29T20:48:00Z,BTC/USDT,36264.34,36282.23,36216.97,36267.01,79.493471,2881550.78364429,1113
1624999620000,2021-06-29T20:47:00Z,BTC/USDT,36280.03,36305.21,36263,36264.35,33.658997,1221345.34430639,541
1624999560000,2021-06-29T20:46:00Z,BTC/USDT,36306.25,36353.22,36271.34,36280.02,100.563956,3650391.51873586,1356
1624999500000,2021-06-29T20:45:00Z,BTC/USDT,36304.01,36307.76,36295.66,36306.25,35.454299,1287046.38460827,697
1624999440000,2021-06-29T20:44:00Z,BTC/USDT,36316.61,36316.61,36300.73,36304.01,23.82153,864947.50606081,438
1624999380000,2021-06-29T20:43:00Z,BTC/USDT,36314.32,36343.95,36308.97,36316.61,17.162902,623450.31897144,460
1624999320000,2021-06-29T20:42:00Z,BTC/USDT,36322.14,36351.46,36300,36314.31,57.579135,2091168.24365807,912
1624999260000,2021-06-29T20:41:00Z,BTC/USDT,36347.27,36364.27,36313.9,36322.13,68.802234,2500166.00951288,790
1624999200000,2021-06-29T20:40:00Z,BTC/USDT,36350.77,36359.04,36347,36347.02,8.701424,316315.71165502,338
1624999140000,2021-06-29T20:39:00Z,BTC/USDT,36356.99,36360.7,36350,36350.77,12.648069,459809.38284163,262
1624999080000,2021-06-29T20:38:00Z,BTC/USDT,36350,36365.43,36350,36355.06,14.108498,512916.71518925,386
1624999020000,2021-06-29T20:37:00Z,BTC/USDT,36378.18,36378.18,36350,36350.01,18.033477,655760.74493404,459
1624998960000,2021-06-29T20:36:00Z,BTC/USDT,36374.98,36405.39,36374.98,36378.19,21.829651,794445.42091223,512
1624998900000,2021-06-29T20:35:00Z,BTC/USDT,36346.3,36379.99,36346.29,36374.99,9.192966,334291.89691844,369
1624998840000,2021-06-29T20:34:00Z,BTC/USDT,36353.04,36353.93,36340.01,36346.29,12.550423,456155.41539141,349
1624998780000,2021-06-29T20:33:00Z,BTC/USDT,36341.38,36357.74,36341.37,36353.04,10.547943,383419.6940752,350
1624998720000,2021-06-29T20:32:00Z,BTC/USDT,36361.73,36372.44,36340.01,36341.38,21.916352,796755.78381299,451
1624998660000,2021-06-29T20:31:00Z,BTC/USDT,36378.85,36388.25,36351.77,36361.72,15.599291,567376.10712018,485
