unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT,tradecount
1625001420000,2021-06-29T21:17:00Z,ETH/USDT,2195.57,2196,2194.69,2195.91,174.18042,382406.4961776,1077
1625001360000,2021-06-29T21:16:00Z,ETH/USDT,2194.91,2196.31,2193.49,2195.58,416.38722,914077.6516425,961
1625001300000,2021-06-29T21:15:00Z,ETH/USDT,2189.49,2195.82,2187.22,2195.26,1087.54896,2383348.7165675,1844
1625001240000,2021-06-29T21:14:00Z,ETH/USDT,2191.85,2191.85,2189.49,2189.49,405.07653,887328.4021001,1032
1625001180000,2021-06-29T21:13:00Z,ETH/USDT,2196.39,2196.74,2190.96,2191.84,474.97941,1041925.06565,1204
1625001120000,2021-06-29T21:12:00Z,ETH/USDT,2194.94,2196.77,2194.94,2196.37,175.55774,385461.2272181,593
1625001060000,2021-06-29T21:11:00Z,ETH/USDT,2196.01,2196.02,2192.99,2194.93,198.67956,436045.8862473,1155
1625001000000,2021-06-29T21:10:00Z,ETH/USDT,2191.48,2196.25,2189.61,2196.01,545.55387,1195472.9342835,919
1625000940000,2021-06-29T21:09:00Z,ETH/USDT,2194.51,2194.77,2191.56,2191.56,829.75749,1819828.1744703,1174
1625000880000,2021-06-29T21:08:00Z,ETH/USDT,2197.44,2198.26,2194.09,2194.51,291.7455,640661.0268267,995
1625000820000,2021-06-29T21:07:00Z,ETH/USDT,2196.46,2197.57,2196.05,2197.44,267.8642,588388.5577719,999
1625000760000,2021-06-29T21:06:00Z,ETH/USDT,2193.47,2196.63,2192.67,2196.61,193.47097,424511.0248171,683
1625000700000,2021-06-29T21:05:00Z,ETH/USDT,2190.39,2195.86,2190.03,2193.4,534.1939,1171796.6248317,1271
1625000640000,2021-06-29T21:04:00Z,ETH/USDT,2194.91,2194.91,2190.4,2190.4,293.26818,643014.1158665,731
1625000580000,2021-06-29T21:03:00Z,ETH/USDT,2191.99,2197.18,2191.99,2194.9,662.87655,1454615.4476929,1260
1625000520000,2021-06-29T21:02:00Z,ETH/USDT,2189.84,2192.98,2189.84,2191.99,318.02674,697027.340313,827
1625000460000,2021-06-29T21:01:00Z,ETH/USDT,2187.53,2193.95,2186.56,2189.84,773.72627,1694315.2313253,1409
