unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1624999620000,2021-06-29T20:47:00Z,DOT/USDT,16.354,16.372,16.333,16.339,6942.618,113489.791947,220
1624999560000,2021-06-29T20:46:00Z,DOT/USDT,16.362,16.391,16.348,16.353,5702.941,93315.233898,217
1624999500000,2021-06-29T20:45:00Z,DOT/USDT,16.362,16.374,16.358,16.368,1784.172,29197.149085,91
1624999440000,2021-06-29T20:44:00Z,DOT/USDT,16.373,16.378,16.358,16.362,9173.967,150127.206433,225
1624999380000,2021-06-29T20:43:00Z,DOT/USDT,16.383,16.393,16.373,16.376,3308.529,54207.438566,110
1624999320000,2021-06-29T20:42:00Z,DOT/USDT,16.398,16.398,16.37,16.383,5842.983,95712.564215,167
1624999260000,2021-06-29T20:41:00Z,DOT/USDT,16.405,16.412,16.378,16.396,10064.903,164985.074979,241
1624999200000,2021-06-29T20:40:00Z,DOT/USDT,16.415,16.415,16.401,16.403,2463.941,40428.605892,79
1624999140000,2021-06-29T20:39:00Z,DOT/USDT,16.424,16.427,16.411,16.416,1097.72,18026.401452,53
1624999080000,2021-06-29T20:38:00Z,DOT/USDT,16.401,16.428,16.4,16.424,2687.423,44106.419944,98
1624999020000,2021-06-29T20:37:00Z,DOT/USDT,16.432,16.433,16.404,16.404,19525.818,320445.439113,162
1624998960000,2021-06-29T20:36:00Z,DOT/USDT,16.431,16.456,16.431,16.433,3218.49,52921.732862,88
1624998900000,2021-06-29T20:35:00Z,DOT/USDT,16.416,16.439,16.414,16.43,8565.285,140743.151668,132
1624998840000,2021-06-29T20:34:00Z,DOT/USDT,16.423,16.423,16.412,16.419,1019.279,16733.577842,65
1624998780000,2021-06-29T20:33:00Z,DOT/USDT,16.414,16.432,16.4,16.425,8887.887,145874.747597,170
1624998720000,2021-06-29T20:32:00Z,DOT/USDT,16.423,16.424,16.406,16.415,2382.386,39099.177336,87
1624998660000,2021-06-29T20:31:00Z,DOT/USDT,16.451,16.461,16.413,16.419,4282.112,70428.167019,122
1624998600000,2021-06-29T20:30:00Z,DOT/USDT,16.431,16.469,16.429,16.453,4328.392,71198.117443,138
1624998540000,2021-06-29T20:29:00Z,DOT/USDT,16.414,16.44,16.409,16.437,6520.505,107082.396929,139
1624998480000,2021-06-29T20:28:00Z,DOT/USDT,16.427,16.427,16.404,16.411,7102.121,116561.771245,220
1624998420000,2021-06-29T20:27:00Z,DOT/USDT,16.45,16.457,16.428,16.428,3420.454,56260.276077,90
1624998360000,2021-06-29T20:26:00Z,DOT/USDT,16.437,16.456,16.43,16.451,2755.423,45305.658933,108
1624998300000,2021-06-29T20:25:00Z,DOT/USDT,16.459,16.459,16.432,16.436,3330.609,54777.570135,168
1624998240000,2021-06-29T20:24:00Z,DOT/USDT,16.46,16.47,16.457,16.459,2653.739,43691.316112,80
1624998180000,2021-06-29T20:23:00Z,DOT/USDT,16.46,16.485,16.459,16.464,2110.535,34761.888868,112
1624998120000,2021-06-29T20:22:00Z,DOT/USDT,16.482,16.486,16.454,16.461,3083.057,50770.26885,158
1624998060000,2021-06-29T20:21:00Z,DOT/USDT,16.504,16.507,16.475,16.484,3469.76,57204.706139,128
1624998000000,2021-06-29T20:20:00Z,DOT/USDT,16.505,16.517,16.5,16.501,3151.904,52023.885125,74
1624997940000,2021-06-29T20:19:00Z,DOT/USDT,16.501,16.512,16.486,16.505,11989.298,197751.662862,175
1624997880000,2021-06-29T20:18:00Z,DOT/USDT,16.501,16.52,16.501,16.501,3954.143,65285.593413,143
1624997820000,2021-06-29T20:17:00Z,DOT/USDT,16.511,16.533,16.5,16.5,14014.255,231459.956408,230
1624997760000,2021-06-29T20:16:00Z,DOT/USDT,16.562,16.562,16.508,16.512,13109.437,216640.868782,290
1624997700000,2021-06-29T20:15:00Z,DOT/USDT,16.525,16.568,16.512,16.562,7634.346,126317.163868,205
1624997640000,2021-06-29T20:14:00Z,DOT/USDT,16.565,16.58,16.527,16.527,8259.088,136738.750994,209
1624997580000,2021-06-29T20:13:00Z,DOT/USDT,16.583,16.585,16.553,16.564,3935.724,65201.642265,131
1624997520000,2021-06-29T20:12:00Z,DOT/USDT,16.566,16.597,16.563,16.584,11364.789,188405.867428,293
1624997460000,2021-06-29T20:11:00Z,DOT/USDT,16.553,16.577,16.55,16.563,3178.968,52655.10763,98
1624997400000,2021-06-29T20:10:00Z,DOT/USDT,16.588,16.601,16.551,16.559,13151.953,218076.27565,275
1624997340000,2021-06-29T20:09:00Z,DOT/USDT,16.509,16.594,16.509,16.588,64271.257,1064069.845598,1033
1624997280000,2021-06-29T20:08:00Z,DOT/USDT,16.502,16.524,16.47,16.516,28862.157,476002.767023,486
1624997220000,2021-06-29T20:07:00Z,DOT/USDT,16.512,16.533,16.488,16.509,6912.226,114103.679611,143
1624997160000,2021-06-29T20:06:00Z,DOT/USDT,16.512,16.538,16.496,16.508,4002.574,66113.093649,128
1624997100000,2021-06-29T20:05:00Z,DOT/USDT,16.5,16.54,16.493,16.511,4850.425,80111.351533,144
1624997040000,2021-06-29T20:04:00Z,DOT/USDT,16.544,16.544,16.5,16.5,2523.742,41687.123986,161
1624996980000,2021-06-29T20:03:00Z,DOT/USDT,16.496,16.559,16.489,16.549,4935.744,81500.509938,205
1624996920000,2021-06-29T20:02:00Z,DOT/USDT,16.533,16.534,16.447,16.498,26378.9,434765.493568,539
1624996860000,2021-06-29T20:01:00Z,DOT/USDT,16.571,16.578,16.531,16.533,7727.685,127935.864233,214
1624996800000,2021-06-29T20:00:00Z,DOT/USDT,16.553,16.589,16.55,16.571,6715.039,111343.266008,232
1624996740000,2021-06-29T19:59:00Z,DOT/USDT,16.565,16.569,16.554,16.555,4497.627,74490.729263,119
1624996680000,2021-06-29T19:58:00Z,DOT/USDT,16.532,16.576,16.532,16.566,5920.873,98071.381368,192
1624996620000,2021-06-29T19:57:00Z,DOT/USDT,16.526,16.536,16.518,16.529,1625.82,26872.718281,94
1624996560000,2021-06-29T19:56:00Z,DOT/USDT,16.526,16.551,16.501,16.521,23694.389,391469.806152,285
1624996500000,2021-06-29T19:55:00Z,DOT/USDT,16.527,16.54,16.51,16.526,11344.773,187483.614365,274
1624996440000,2021-06-29T19:54:00Z,DOT/USDT,16.479,16.532,16.478,16.532,12665.819,209088.064406,237
1624996380000,2021-06-29T19:53:00Z,DOT/USDT,16.475,16.496,16.469,16.482,1267.697,20900.547712,61
1624996320000,2021-06-29T19:52:00Z,DOT/USDT,16.5,16.508,16.474,16.475,5041.22,83165.563791,142
1624996260000,2021-06-29T19:51:00Z,DOT/USDT,16.455,16.509,16.442,16.5,12793.424,210856.045992,293
1624996200000,2021-06-29T19:50:00Z,DOT/USDT,16.455,16.462,16.427,16.455,6581.762,108229.735557,164
1624996140000,2021-06-29T19:49:00Z,DOT/USDT,16.444,16.47,16.444,16.453,5416.892,89152.652208,169
1624996080000,2021-06-29T19:48:00Z,DOT/USDT,16.415,16.444,16.401,16.444,3913.359,64266.841812,153
1624996020000,2021-06-29T19:47:00Z,DOT/USDT,16.371,16.443,16.371,16.416,26449.37,434124.644977,650
1624995960000,2021-06-29T19:46:00Z,DOT/USDT,16.368,16.375,16.355,16.373,3283.402,53736.891594,144
1624995900000,2021-06-29T19:45:00Z,DOT/USDT,16.339,16.38,16.333,16.368,18384.641,300734.403254,362
1624995840000,2021-06-29T19:44:00Z,DOT/USDT,16.385,16.385,16.336,16.338,6082.876,99522.001545,162
